	Hunmong	mongeum
腋	쟈개얌	ᄋᆡᆨ
肋	녑발치	륵
脇	녑구레	협
肩	엇개	견
臑	엇게	뇨
腢	엇게	우
胛	엇게	갑
拳	주머귀	권
腡	손금	과
肐	ᄑᆞᆯ	걸
膊	ᄑᆞᆯ독	박
口	입	구
舌	혀	셜
脣	입시울	슌
吻	입아괴	믄
牙	엄	이
齒	니	치
齗	닛믜임	은
腭	거훔	악
肱	ᄑᆞᆯ	괴ᇰ
臂	ᄑᆞᆯ	비
手	손	슈
掌	소ᇇ바독	쟈ᇰ
指	소ᇇ가락	지
爪	소ᇇ돕	조
肘	ᄑᆞᆯ구브러ᇰ	듀
腕	손목	완
腓	허튀	비
踦	허튀	긔
腨	허튓 ᄇᆡ	쳔
臁	허튓 녑	렴
脛	허튓 ᄲᅧ	혀ᇰ
胻	허튓 ᄲᅧ	ᄒᆡᇰ
骹	허튓 ᄲᅧ	교
骭	허튓 ᄲᅧ	한
喉	목ᄭᅮ무	후
嚨	목ᄭᅮ무	로ᇰ
咽	목ᄭᅮ무	연
嗓	목쥴뒤	사ᇰ
耳	귀	ᅀᅵ
𦖋	귓구무	타
鼻	고	비
準	곳ᄆᆞᄅᆞ	쥰
心	념토ᇰ	심
肝	가ᇇ〮	간
脾	말하	비
肺	부화	폐
膓	애	댜ᇰ
胃	야ᇰ	위
膽	ᄡᅳᆯ게	담
腎	코ᇰᄑᆞᆺ	신
胸	가ᄉᆞᆷ	휴ᇰ
膛	가ᄉᆞᆷ	다ᇰ
膺	가ᄉᆞᆷ	으ᇰ
臆	가ᄉᆞᆷ	억
軀	몸	구
膈	가ᄉᆞᆷ	격
嬭	졋	내
乳	졋	ᅀᅲ
毗	ᄇᆡᆺ복	비
胦	ᄇᆡᆺ복	아ᇰ
脖	ᄇᆡᆺ복	발
臍	ᄇᆡᆺ복	졔
背	드ᇰ	ᄇᆡ
脊	드ᇰᄆᆞᄅᆞ	쳑
腰	허리	요
膂	허리	려
腿	싄다리	퇴
胯	다리	과
髀	다리	비
股	다리	고
尻	오미뇌	고
脽	오미뇌	슈
臀	믿	둔
肛	믿	하ᇰ
膝	무룹	슬
膕	무룹	국
𦚼	오곰	곡
䐐	오곰	츄
尿	오좀	뇨
脬	오좀ᄭᅢ	포
膀	오좀ᄭᅢ	바ᇰ
胱	오좀ᄭᅢ	과ᇰ
髮	터럭	발
鬚	입거웃	슈
髭	거웃	ᄌᆞ
髥	거웃	ᅀᅧᆷ
肚	ᄇᆡ	두
腹	ᄇᆡ	복
腔	구레	가ᇰ
𦚞	구레	과ᇰ
呼	숨 내쉴	호
吸	숨 드리쉴	흡
脉	ᄆᆡᆨ	ᄆᆡᆨ
息	숨	식
肌	ᄉᆞᆯ	긔
膚	ᄉᆞᆯ	부
腠	ᄉᆞᆯᄭᅳᆷ	주
膜	기름갓	막
髑	머릿ᄃᆡ골	독
髏	머릿ᄃᆡ골	루
腦	골치	노
髓	골치	슈
骸	ᄲᅧ	ᄒᆡ
骨	ᄲᅧ	골
骴	ᄲᅧ	ᄌᆞ
骼	ᄲᅧ	각
跟	뒤측	근
踵	뒤측	죠ᇰ
跗	밧드ᇰ	부
踝	귀머리	과
拇	엄지가락	모
趾	발	지
足	발	죡
脚	발	각
躬	몸	구ᇰ
影	그르메	여ᇰ
音	소ᄅᆡ	음
聲	소ᄅᆡ	셔ᇰ
性	셔ᇰ	셔ᇰ
情	ᄠᅳᆮ	져ᇰ
志	ᄠᅳᆮ	지
意	ᄠᅳᆮ	의
哭	울	곡
泣	울	읍
笑	우ᅀᅮᆷ	쇼
唒	우ᅀᅳᆯ	신
噦	피기	얼
噫	트림	애
噴	ᄌᆞᄎᆡ욤	분
嚏	ᄌᆞᄎᆡ욤	톄
鬍	거츨	호
禿	믤	독
肨	ᄉᆞᆯ질	파ᇰ
臞	여윌	구
𥆖	누ᇇ곱	두
眵	눈곱	치
齈	콧물	노ᇰ
涕	곳믈	톄
沫	거품	말
淚	눈믈	류
涶	춤	타
涎	춤	연
膿	골믈	노ᇰ
血	피	혈
液	진	ᄋᆡᆨ
汗	ᄯᆞᆷ	한
齙	니버들	포
瞎	눈멀	할
矬	킈쟐글	좌
矮	킈쟈글	애
齇	쥬복고	차
皰	쥬복	포
齆	고 머글	오ᇰ
鼾	고 코을	한
溲	오좀	수
便	오좀	편
𡱁	ᄯᅩᆼ	시
糞	ᄯᅩᆼ	분
屄	구무	비
屄	구무	쥬
屁	밋구무	피
䊧	바ᇰ귀	비
眠	조오롬	면
睡	잘	슈
夢	ᄭᅮᆷ	모ᇰ
覺	ᄭᆡᆯ	교
欠	하외욤	흠
伸	기지게	신
寤	ᄭᆡᆯ	오
寐	잘	ᄆᆡ
祖	하나비	조
父	아비	부
爹	아비	다
爺	아비	야
媽	할미	마
婆	할미	파
考	아비	고
妣	어미	비
母	어미	모
孃	어미	냐ᇰ
妻	겨집	쳐
妾	고마	쳡
妯	겨집도ᇰ셰	튝
娌	겨집도ᇰ셰	리
娣	겨집동셰	뎨
姒	겨집도ᇰ셰	ᄉᆞ
男	아ᄃᆞ	남
女	겨집	녀
夫	샤오ᇰ	부
婦	며느리	부
嫡	뎍실	뎍
蘖	셔얼	얼
眷	권쇽	권
族	아ᅀᆞᆷ	족
妗	아ᄌᆞ미	금
嫂	아ᄌᆞ미	수
嬸	아ᄌᆞ미	심
娘	겨집	냐ᇰ
舅	아자비	구
姑	아ᄌᆞ미	고
伯	ᄆᆞᆮ아자비	ᄇᆡᆨ
叔	아ᅀᆞ아자비	슉
兄	ᄆᆞᆮ	혀ᇰ
哥	ᄆᆞᆮ	가
昆	ᄆᆞᆮ	곤
弟	아ᅀᆞ	뎨
姨	아ᄌᆞ미	이
姐	ᄆᆞᆮ누의	져
姉	ᄆᆞᆮ누의	ᄌᆞ
妹	아ᅀᆞ누의	ᄆᆡ
兒	아ᄒᆡ	ᅀᆞ
童	아ᄒᆡ	도ᇰ
囝	아ᄃᆞᆯ	견
子	아ᄃᆞᆯ	ᄌᆞ
姪	아ᄎᆞ아ᄃᆞᆯ	딜
孫	손ᄌᆞ	손
甥	아ᄎᆞ아ᄃᆞᆯ	ᄉᆡᇰ
壻	사회	셔
孾	아ᄒᆡ	여ᇰ
孩	아ᄒᆡ	ᄒᆡ
齠	니ᄀᆞᆯ	툐
齔	니ᄀᆞᆯ	친
幼	져믈	유
冲	져믈	튜ᇰ
孺	져믈	ᅀᅲ
稚	져믈	티
姓	셔ᇰ	셔ᇰ
氏	각시	시
名	일훔	며ᇰ
號	일훔	호
親	아ᅀᆞᆷ	친
戚	아ᅀᆞᆷ	쳑
宗	ᄆᆞᄅᆞ	조ᇰ
系	간	계
奴	남진죠ᇰ	노
婢	겨집죠ᇰ	비
僮	죠ᇰ	도ᇰ
僕	죠ᇰ	복
姆	졋어미	모
嫗	할미	구
姥	할미	모
媼	할미	오
鰥	호을아비	환
寡	호을어미	과
嫠	호을어미	리
孀	호을어미	사ᇰ
翁	하나비	오ᇰ
叟	하나비	수
耆	늘글	기
老	늘글	로
婚	사돈	혼
姻	사돈	인
嫁	얼일	가
娶	어를	ᄎᆔ
精	솝	져ᇰ
氣	긔운	ᄭᅴ
孕	ᄇᆡᆯ	이ᇰ
毓	도읠	육
姙	ᄇᆡᆯ	ᅀᅵᆷ
娠	ᄇᆡᆯ	신
娩	나ᄒᆞᆯ	면
産	나ᄒᆞᆯ	산
㝈	ᄀᆞᆯ오기	솬
⿰孛殳	졋머길	뉴
鞠	칠	국
育	칠	육
庠	ᄒᆞᆨ〮다ᇰ	샤ᇰ〮
序	ᄒᆞᆨ〮다ᇰ	셔〯
校	ᄒᆞᆨ〮다ᇰ	교〯
塾	ᄒᆞᆨ〮다ᇰ	슉〮
師	스스ᇰ	ᄉᆞ
傅	스스ᇰ	부〮
生	날	ᄉᆡᇰ
徒	물〮	도
詩	글〯월〮	시
書	글〮월〮	셔
易	밧ᄭᅩᆯ〮	역
禮	례〮수〯	례〮
科	무들기〮	과
第	ᄎᆞ〮례	뎨〯
儁	ᄂᆞᆯ〮날〮	쥰〯
儒	션븨	ᅀᅲ
章	글〮월〮	쟈ᇰ
句	굿〮굿〮	구〯
文	글〮월〮	문
字	글월〮	ᄌᆞ
典	글월〮	뎐〯
籍	글〮월〮	젹〮
經	글〮월〮	겨ᇰ
史	ᄉᆞ긧	ᄉᆞ〮
冊	ᄎᆡᆨ〮	ᄎᆡᆨ〮
篇	글〮월〮	편〮
卷	궈ᇇ〯	권〯
帙	ᄎᆡᆨ〮읫	딜〮
筆	붇〯	필〮
墨	먹〮	믁〮
硯	벼로〮	연〮
紙	죠ᄒᆡ〮	지〮
表	밧	표
箋	글〮월〮	젼
命	목숨〯	며ᇰ〯
諭	알욀〮	유〯
詔	죠셧	죠
勅	틱〮셔〮	틱〮
誥	알욀〮	고
旨	ᄠᅳᆮ	지
榜	바ᇱ〯	바ᇰ〯
令	긔걸〮ᄒᆞᆯ	려ᇰ〮
法	법〮	법〮
例	례〯ᄉᆞᆺ〮	례〯
符	보〮람〯	부
契	글〮월〮	계〯
印	인〮	인〮
璽	인〮	ᄉᆞ〯
簡	글〮월〮	간〯
帖	브틸〮	텹〮
案	글월〮	안〯
牘	글〮월〮	독
疏	글〮월〮	소〯
箚	글〮월〮	잡〮
奏	엳〯ᄌᆞ〮올〮	주〯
啓	엳〯ᄐᆞᆯ〮	계〯
狀	얼굴	자ᇰ〯
呈	바틸〮	뎌ᇰ
牌	글〮월〮	패
引	혈〮	인〮
簿	글월〮	부〯
牒	글〮월〮	텁〮
稿	글〮초〮	고〯
批	글〮월〮	피〮
皇	님굼	화ᇰ
帝	님굼	뎨
君	님굼	ᄭᅮᆫ
主	님	쥬
后	듀ᇰ구ᇰ	후
妃	듀ᇰ구ᇰ	비
嬪	비ᇱ	비ᇰ
嬙	시녓	쟈ᇰ
儲	여툴	뎌
副	버글	부
世	누리	셰
代	ᄀᆞᄅᆞᄎᆞᆯ	ᄃᆡ
邦	나라	바ᇰ
國	나라	국
辟	님굼	벽
王	님굼	와ᇰ
公	구의	고ᇰ
侯	님굼	후
宰	ᄌᆡ샤ᇰ	ᄌᆡ
相	ᄌᆡ샤ᇰ	샤ᇰ
將	쟈ᇰ슈	쟈ᇰ
帥	쟈ᇰ슛	슈
駙	부맛	부
卿	벼슬	겨ᇰ
臣	신핫	신
僚	도ᇰ관	료
員	관원	원
吏	셔릿	리
士	됴ᄉᆞᆺ	ᄉᆞ
隷	거러치	예
民	ᄇᆡᆨ셔ᇰ	민
氓	ᄇᆡᆨ셔ᇰ	ᄆᆡᆼ
閹	고쟈	엄
宦	고쟈	환
閽	고쟈	혼
䦙	고쟈	시
卒	군ᄉᆞ	졸
伍	군ᄉᆞ	오
軍	군ᄉᆞᆺ	군
丁	ᄉᆞᆫ	뎌ᇰ
泅	헤욤	슈
㴹	므ᄌᆞ밋	미
游	헤욤	유
泳	므ᄌᆞ미	여ᇰ
傭	삭바ᄃᆞᆯ	요ᇰ
雇	삭바ᄃᆞᆯ	고
匠	쟈ᇰᅀᅵᆫ	쟈ᇰ
役	브릴	역
漁	고기 자블	어
獵	산ᄒᆡᇰᄒᆞᆯ	렵
樵	나모 뷜	쵸
牧	모ᅀᅵᆯ	목
染	므드릴	ᅀᅧᆷ
畵	그릴	화
筭	혤	산
曆	ᄎᆡᆨ력	력
神	신려ᇰ	신
佛	부텨	불
鬼	귓것	귀
魔	귓것	마
仙	션ᅀᅵᆫ	션
道	도ᄉᆞᆺ	도
尼	스ᇰ	니
僧	쥬ᇰ	스ᇰ
賓	손	비ᇰ
客	손	ᄀᆡᆨ
覊	나ᄀᆞ내	긔
旅	나ᄀᆞ내	려
伴	벋	반
侶	벋	려
友	벋	우
朋	벋	부ᇰ
娼	녀계	챠ᇰ
妓	녀계	기
䘕	녀계	하ᇰ
衏	녀계	원
傀	광대	괴
儡	광대	뢰
優	노ᄅᆞᆺ바치	우
伶	노ᄅᆞᆺ바치	려ᇰ
醫	의원	의
卜	졈복	복
呪	굴	츅
儈	즈름	회
商	흐ᇰ져ᇰ홀	샤ᇰ
賈	흐ᇰ져ᇰᄒᆞᆯ	고
農	녀름지ᅀᅳᆯ	노ᇰ
工	고ᇰ쟈ᇰ바치	고ᇰ
巫	무다ᇰ	무
覡	화라ᇰ이	혁
媒	듀ᇰᅀᅵᆫ	ᄆᆡ
妁	듀ᇰᅀᅵᆫ	쟉
瞽	쇼겨ᇰ	고
瞍	쇼겨ᇰ	수
盲	쇼겨ᇰ	ᄆᆡᇰ
矇	쇼겨ᇰ	모ᇰ
東	도ᇰ녁	도ᇰ
夷	되	이
西	셧녁	셔
戎	되	융
南	앏	남
蠻	되	만
狄	되	뎍
倭	예	와
韃	다대	달
羗	되	가ᇰ
虜	되	로
刦	후릴	겁
盜	도ᄌᆞᆨ	도
寇	도ᄌᆞᆨ	구
賊	도ᄌᆞᆨ	적
宮	집	구ᇰ
闕	집	궐
宸	집	신
殿	집	뎐
屋	집	옥
宅	집	ᄐᆡᆨ
家	집	가
房	집	바ᇰ
廳	집	텨ᇰ
廨	집	ᄒᆡ
廬	집	려
舍	집	샤
閨	도자ᇰ	규
閤	도자ᇰ	합
室	집	실
堂	집	다ᇰ
樓	다락	루
閣	집	각
亭	뎌ᇰᄌᆞᆺ	뎌ᇰ
臺	ᄃᆡᆺ	ᄃᆡ
闈	문	위
闥	문	달
廡	집	무
廊	ᄒᆡᇰ라ᇰ	라ᇰ
厦	집	하
寢	몸채	침
埇	듕계	요ᇰ
𨹸	챠면	담
𪗆	집	ᄌᆡ
院	집	원
廠	허간	챠ᇰ
棚	가개	부ᇰ
軒	듸누리	헌
檻	듸누리	함
欄	란간	란
楯	쳐ᇰ널	슌
戶	입	호
牖	차ᇰ	유
䆫	차ᇰ	차ᇰ
欞	듀ᇰ긷	려ᇰ
壁	ᄇᆞᄅᆞᆷ	벽
墉	담	요ᇰ
垣	담	원
墻	담	쟈ᇰ
桁	도리	ᄒᆡᇰ
檁	납	름
簷	기슭	쳠
甍	기슭	ᄆᆡᇰ
溝	쉬구ᇰ	구
渠	쉬구ᇰ	거
瀆	쉬구ᇰ	독
𤅋	쉬구ᇰ	두
厠	뒷〯간〮ᄎᆞ〮
㢏	매유토ᇰ	투
圂	뒷간	혼
圊	뒷간	쳐ᇰ
牔	박고ᇰ	박
櫳	차ᇰ살	로ᇰ
梐	살문	폐
枑	살문	호
陛	버터ᇰ	폐
墀	ᄠᅳᆯ	디
階	섬	계
庭	ᄠᅳᆯ	뎌ᇰ
棟	ᄆᆞᄅᆞ	도ᇰ
樑	보	랴ᇰ
楹	기도ᇰ	여ᇰ
柱	기도ᇰ	듀
梲	대고ᇰ	졀
椽	셔	연
桷	셔	각
榱	셔	최
礎	쥬츄	초
磉	쥬츄	사ᇰ
礩	쥬츄	질
磶	쥬츄	셕
藩	울	번
柵	세댜ᇰ	ᄎᆡᆨ
笆	바조	파
籬	바조	리
門	문	문
扉	문ᄧᅡᆨ	비
椳	지도리	외
樞	지도리	츄
扃	쟈ᇰ군목	겨ᇰ
𣟴	쟈ᇰ군목	솬
扊	쟈ᇰ군목	염
扅	쟈ᇰ군목	이
𨴑	문젼	과ᇰ
闑	무ᇇ돌	얼
閫	문젼	곤
閾	문젼	역
橋	ᄃᆞ리	교
梯	ᄃᆞ리	뎨
矼	ᄃᆞ리	가ᇰ
徛	ᄃᆞ리	긔
朝	됴횟	됴
廷	터	뎌ᇰ
京	셔울	겨ᇰ
都	도읍	도
邊	ᄀᆞᆺ	변
鄙	ᄀᆞᆺ	비
寰	고을	환
畿	겨ᇰ긧	긔
部	거느릴	부
署	마ᅀᆞᆯ	셔
曹	마ᅀᆞᆯ	조
局	마ᅀᆞᆯ	국
官	구의	관
府	마ᅀᅳᆯ	부
衙	마ᅀᆞᆯ	아
司	마ᅀᆞᆯ	ᄉᆞ
州	고을	쥬
郡	고을	군
縣	고을	현
邑	고을	읍
衛	ᄢᅳ릴	위
所	바	소
營	바오달	여ᇰ
廂	집	샤ᇰ
邸	집	뎨
店	져제	뎜
埠	져제	부
集	모ᄃᆞᆯ	집
街	거리	개
市	져제	시
廛	져제	뎐
行	져제	하ᇰ
屯	군모들	둔
堡	쟈근 잣	보
壕	ᄒᆡᄌᆞ	호
池	못	디
郛	밧 잣	부
郭	밧 잣	곽
城	잣	셔ᇰ
隍	ᄒᆡᄌᆞ	화ᇰ
閭	ᄆᆞᅀᆞᆯ	려
閻	ᄆᆞᅀᆞᆯ	염
鄰	ᄆᆞᅀᆞᆯ	린
里	ᄆᆞᅀᆞᆯ	리
寨	목ᄎᆡᆨ	채
墅	노ᇰ솟	셔
村	ᄆᆞᅀᆞᆯ	촌
鄕	스굴	햐ᇰ
墩	ᄒᆞᆰ무디	돈
堠	댜ᇰ수ᇰ	후
烽	보ᇰ호	보ᇰ
燧	보ᇰ호	슈
舘	집	관
驛	역	역
站	역	참
鋪	역	푸
倉	차ᇰ	차ᇰ
厫	채	오
囤	노젹	돈
篅	노젹	쳔
囷	노젹	균
廩	고	름
帑	금으ᇇ고	타ᇰ
庫	곳	고
牢	옥	뢰
獄	옥	옥
囹	옥	려ᇰ
圄	옥	어
窨	움	음
窩	산막	와
穽	함져ᇰ	져ᇰ
窖	굳	교
陶	딜구을	도
窰	왜욧	요
囱	굴	초ᇰ
堗	굴	돌
庖	브ᅀᅥᆨ	포
廚	브ᅀᅥᆨ	듀
炕	구들	가ᇰ
竈	브ᅀᅥᆨ	조
庵	뎔	암
觀	집	관
寺	뎔	ᄉᆞ
刹	뎔	찰
祠	ᄉᆞ다ᇰ	ᄉᆞ
廟	조ᇰ묫	묘
壇	졔터	단
壝	졔터	유
鼎	솓	뎌ᇰ
鑊	솓	확
鼐	솓	내
鼒	솓	ᄌᆞ
釜	가마	부
鍋	가마	과
𩰿	가마	심[1]
錡	가마	긔
樻	궷	궤
櫝	골	독
庋	자ᇰ	기
机	도마	궤
牀	펴ᇰ사ᇱ	사ᇰ
榻	펴ᇰ사ᇰ	탑
凳	사오리	드ᇰ
椅	교의	의
卓	고죡사ᇰ	탁
盤	반	ᄲᅡᆫ
榼	합	합
鏊	노고	오
簁	체	싀
籮	체	라
甑	시르	즈ᇰ
箅	시르 믿	비
盌	사발	원
楪	뎝시	뎝
簞	바고니	단
箕	키	긔
匕	술	비
匙	술	시
筴	져	협
筯	져	뎌
砑	밀돌	아
碾	밀돌	년
磨	매	마
磑	매	의
碓	바ᇰ하	ᄃᆡ
臼	호왁	구
砧	버터ᇰ	팀
杵	고	져
筵	돗	연
席	돗	셕
茵	지즑	인
薦	지즑	쳔
兀	바ᇰ사오리	올
簟	삳	뎜
枕	벼개	침
褥	요	ᅀᅭᆨ
秤	저울	치ᇰ
衡	저욼대	혀ᇰ
錘	ᄃᆞ림	튜
權	ᄃᆞ림	권
升	되	스ᇰ
斗	말	두
槩	펴ᇰ목	개
斛	고	곡
糨	ᄡᆞᆯ플	가ᇰ
糊	밀플	호
膠	갓ᄲᅳᆯ	교
蠟	밀	랍
𣑿	붑마치	부
柲	ᄌᆞᄅᆞ	필
柄	ᄌᆞᄅᆞ	벼ᇰ
𣠽	ᄌᆞᄅᆞ	파
樽	주ᇇ	준
罍	준	뢰
鐺	쟈ᇰᄌᆞ	ᄐᆡᇰ
銚	쥬젼ᄌᆞ	됴
壺	호벼ᇰ	호
甁	벼ᇱ	벼ᇰ
勺	구기	쟉
斝	잔	가
壜	하ᇰ아리	담
罐	단디	관
盆	딜도ᇰᄒᆡ	분
盎	딜도ᇰᄒᆡ	아ᇰ
篘	로ᇰᄉᆞ	추
帘	주머니	렴
槽	고조	조
榨	고조	자
巵	대야	치
匜	귀대야	이
甌	보ᅀᆞ	구
盞	잔	잔
甖	대하ᇰ	여ᇰ
缸	하ᇰ	하ᇰ
瓮	독	오ᇰ
𤭛	독	가ᇰ
杯	잔	ᄇᆡ
鍾	죠ᇰ	죠ᇰ
觥	가탁	괴ᇰ
觴	잔	샤ᇰ
籃	ᄃᆞ라치	람
簍	두ᇰ주리	루
筥	광조리	게
筐	과ᇰ조리	과ᇰ
笊	죠ᄅᆡ	조
籬	죠ᄅᆡ	리[2]
𥬯	고리	고
䇭	고리	로
篋	섥	협
笥	섥	ᄉᆞ
籠	로ᇰ	로ᇰ
箱	샤ᇰᄌᆞᆺ	샤ᇰ
傘	우산	산
蓋	갯	개
屛	편푸ᇰ	벼ᇰ
扆	편푸ᇰ	의
袋	쟈ᄅᆞ	ᄃᆡ
帍	ᄒᆡᇰᄌᆞ쵸마	호
囊	ᄂᆞᄆᆞᆺ	나ᇰ
橐	주머니	탁
帳	댜ᇱ	댜ᇰ
㡡	댜ᇰ	듀
幃	댜ᇰ	위
幔	댜ᇰ	만
帷	댜ᇰ	유
幌	댜ᇰ	화ᇰ
幄	쟈ᅀᅵᆯ	악
幕	쟈ᅀᅵᆯ	막
𥮕	홰	하ᇰ
架	실에	가
楎	걸말	휘
椸	홰	이
幢	버ᇇ	다ᇰ
旛	버ᇇ	번
簾	발	렴
箔	발	박
鏡	거우로	겨ᇰ
鑑	거우로	감
奩	집	렴
匣	집	갑
鑽	비븨	찬
鑷	죡졉개	녑
錐	솔옷	쵸
觿	쇠약	휴
鍼	바ᄂᆞᆯ	침
熨	다리우리	울
剪	ᄀᆞᅀᅢ	젼
尺	자	쳑
刷	솨ᄌᆞ	솨
櫛	얼에빗	즐
梳	얼에빗	소
篦	ᄎᆞᆷ빗	비
繩	노	스ᇰ
索	노	삭
紘	벼리	괴ᇰ
綱	벼리	가ᇰ
板	널	판
漆	오칠	칠
礬	ᄇᆡᆨ버ᇇ	번
黐	감타ᇰ	치
桎	두드레	딜
梏	두드레	곡
枷	길	가
杻	두드레	류
釱	죡솨	태[3]
鋜	죡솨	착
鐐	죡솨	료
笞	ᄐᆡᆺ	ᄐᆡ
燈	현블	드ᇰ
燭	쵸	쵹
檠	드ᇰ겨ᇱ	겨ᇰ
篝	쵸로ᇰ	구
煤	돌숫	ᄆᆡ
炭	숫	탄
炬	홰	거
爐	화롯	로
蔉	누역	사
笠	갇	립
篊	홈	호ᇰ
筧	홈	현
桔	믈자ᅀᅢ	길
橰	믈자ᅀᅢ	고
轆	믈자ᅀᅢ	록
轤	믈자ᅀᅢ	로
椹	버터ᇰ	심
櫍	버터ᇰ	질
扇	부체	션
箑	부체	삽
鈹	돗바ᄂᆞᆯ	피
鉤	낛	구
䥷	쟉도	찰
鑹	담하	찬[4]
鎌	낟	렴
釤	낟	삼
鍥	낟	결
銍	낟	딜
鑢	줄	려
鐋	비타ᇰ	타ᇰ
銼	줄	차
鏟	거훔한	산
鉗	집게	겸
鎚	쇠마치	퇴
坩	도관	감
堝	도관	과
鎖	ᄌᆞᄆᆞᆯ쇠	쇠
鍉	열쇠	시
鍵	쇳속	건
鑰	열쇠	약
鉋	글게	포
䈜	먹갈	침
枵	ᄒᆞᆰ손	오
鏝	쇠손	만
錛	하ᇰ괴	분
鋸	톱	거
斧	도ᄎᆡ	부
鑿	ᄢᅳᆯ	착
鋤	호ᄆᆡ	서
钁	호ᄆᆡ	확
鎡	호ᄆᆡ	ᄌᆞ
錤	호ᄆᆡ	긔
鐃	요려ᇰ	요[5]
鈸	바라	발
鈴	바ᇰ올	려ᇰ
鐸	요려ᇰ	탁
網	그믈	마ᇰ
罟	그믈	고
罾	그믈	즈ᇰ
